,business_id,name,latitude,longitude,cluster
0,6iYb2HFDywm3zjuRg0shjw,Oskar Blues Taproom,40.0175444,-105.2833481,5
1,tCbdrRPZA0oiIYSmHG3J0w,Flying Elephants at PDX,45.5889058992,-122.5933307507,2
2,D4JtQNTI4X3KcbzacDJsMw,Bob Likes Thai Food,49.2513423,-123.101333,1
3,HPA_qyMEddpAEtFof02ixg,Mr G's Pizza & Subs,42.541155,-70.973438,0
4,ufCxltuh56FF4-ZFZ6cVhg,Sister Honey's,28.5132647,-81.3747072,7
5,hcRxdDg7DYryCxCoI8ySQA,Longwood Galleria,42.338544,-71.106842,8
6,jGennaZUr2MsJyRhijNBfA,Legal Sea Foods,42.3634422,-71.0257812,5
7,QciD6FbNklaJvUbLExD4Nw,ARGO,49.2544359,-123.0200503,1
8,jx91IMdGOmLOo8h_F9z39g,Cleary's Restaurant & Spirits,45.5264727,-122.535323,2
9,NRPemqVb4qpWFF0Avq_6OQ,Eurasia Sushi Bar & Seafood,30.2345329,-97.8772622,5
10,TRToVIbaVtu1KOE8DR9gCw,Texas Roadhouse,28.538452,-81.737625,6
11,5PsApTz-WqhF_-8mfqGtGw,Cafe Yumm!,45.5184501881,-122.6757229865,1
12,Of6xu3pY3eHe2yhiyz2dvg,Taco Bell,40.0336776766,-105.2591028437,8
13,djolOChjDtxniurUFP_SXA,Panda Express,28.8006862,-81.3317118,9
14,bRsDZ44CD3uhGnRY3NeQhQ,Wendy's,30.4418754072,-97.7465811589,8
15,qbZJh9lR0gh4Wca96NQv9g,Chuck E. Cheese,28.551335,-81.483167,8
16,buTr0hMiyDbjQvFJgm-Eew,JP Licks,42.3954064535,-71.0794906915,1
17,Mf9io8WkMyGautXuSSfGTg,Los Potrillos Mexican Restaurant & Bar,45.6988889,-122.703543,8
18,3ME_CSB1bo4F0QMhQRUeOA,Yan's China Bistro,42.4680809796,-70.9167520723,1
19,Q2vefh0tGhtCGQDK1FI7cw,Piece of Cake,33.8428749,-84.3785385,7
20,jI0NfabCGtRZWH5S0jl6Pw,Sabor Latino - Puerto Rican Cuisine & Gallery,28.882545,-81.279028,8
21,aTAe3uMYBEwU0FbTMFEI5g,Urban Pantry,45.5299395,-122.6829322,7
22,XDv29FffNd2dWnDOtZP-wg,Sapporo Ramen,42.3872124,-71.1185319,1
23,3_RuVmLNa-1GNHOMvl_bsg,Something Fishy,28.673554,-81.47132,6
24,5eq56X-e9YbAKmHgUOyXSg,Hunan Lion,40.0653778,-83.0714151,6
25,L-Stk9lkVfPSFQlrFukCwA,Bill's Pizzeria,42.3307744,-71.1916386,6
26,bP6goJODwRnM3AVy45Kn9w,Papi's Cuban & Caribbean Grill,33.772758,-84.380375,6
27,vecuat0jOia-CJveW3ngDw,Schmidt's Sausage Haus,39.9462675588,-82.9910435896,1
28,yCeENvVAGQQ0PeeWU0Pl2g,Nature's Table Bistro,33.640879018,-84.4255140424,9
